"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.713778792E1	-8.678913116E-2	-2.883416414E-2	-6.402015686E-2	1.116348637E-1
1.714579078E1	-8.624601364E-2	-5.514532328E-3	-6.678962708E-2	1.092228878E-1
1.715379562E1	-6.890964508E-2	-1.088124514E-2	-6.719207764E-2	9.685925861E-2
1.716179730E1	-3.488063812E-2	-6.394326687E-3	-8.910655975E-2	9.590372944E-2
1.716979953E1	-3.373622894E-3	-8.885473013E-3	-3.192901611E-2	3.331358630E-2
1.717780199E1	4.488372803E-2	3.082275391E-3	1.567554474E-2	4.764212596E-2
1.718580535E1	6.676912308E-2	2.211296558E-2	3.218746185E-2	7.735070616E-2
1.719380820E1	5.760526657E-2	4.820346832E-3	2.232933044E-2	6.196935919E-2
1.720181093E1	6.024646759E-2	-3.003180027E-3	1.260185242E-2	6.162355582E-2
1.720981363E1	5.800676346E-2	-2.306136489E-2	1.253318787E-2	6.366861044E-2
1.721781754E1	3.639411926E-2	1.892447472E-5	2.699327469E-2	4.531190962E-2
1.722581871E1	4.884719849E-3	1.337152719E-2	1.057672501E-2	1.773486226E-2
1.723382414E1	-1.249742508E-2	2.675870061E-2	2.067375183E-2	3.605021091E-2
1.724182855E1	-4.454708099E-2	1.382941008E-2	9.449005127E-3	4.759179242E-2
1.724983183E1	-5.081224442E-2	1.082184911E-2	-1.095628738E-2	5.309460268E-2
1.725783644E1	-1.435184479E-2	-8.484691381E-3	-2.153158188E-2	2.723186470E-2
1.726583562E1	-2.458572388E-3	-3.609329462E-3	1.144790649E-2	1.225260790E-2
1.727383527E1	4.980993271E-2	-5.513697863E-3	3.986310959E-2	6.403512916E-2
1.728183617E1	5.141925812E-2	-1.467201114E-2	6.378316879E-2	8.323160840E-2
1.728983578E1	7.703876495E-2	-1.691928506E-2	2.781200409E-2	8.363456871E-2
1.729783652E1	9.092092514E-2	-5.173653364E-3	1.562976837E-2	9.239951827E-2
1.730583445E1	8.813047409E-2	3.881096840E-3	-8.572101593E-3	8.863139569E-2
1.731383152E1	6.633663177E-2	2.938538790E-3	-5.440998077E-2	8.584654759E-2
1.732183261E1	3.294754028E-2	-5.010068417E-4	-8.616018295E-2	9.224623865E-2
1.732983300E1	-4.962444305E-3	2.237850428E-2	-8.698606491E-2	8.995553788E-2
1.733783320E1	-4.259634018E-2	3.105053306E-2	-9.999942780E-2	1.130418921E-1
1.734583265E1	-7.500505447E-2	4.727196693E-2	-9.660387039E-2	1.311209550E-1
1.735383398E1	-7.611703873E-2	3.251126409E-2	-8.376884460E-2	1.177624949E-1
1.736183207E1	-6.252288818E-2	3.025975823E-2	-6.643390656E-2	9.611570348E-2
1.736983437E1	-6.066560745E-2	4.266050458E-2	-5.168437958E-2	9.039640298E-2
1.737783570E1	-7.551479340E-2	2.649557590E-2	-2.022552490E-2	8.254436033E-2
1.738583582E1	-7.832241058E-2	1.761060953E-2	-1.516151428E-2	8.169703228E-2
1.739383855E1	-6.180620193E-2	-5.627095699E-3	1.743793488E-3	6.208632393E-2
1.740184332E1	-4.067611694E-2	2.354830503E-3	2.117013931E-2	4.591586343E-2
1.740984613E1	-3.408288956E-2	5.441099405E-3	1.918506622E-2	3.948817151E-2
1.741784910E1	-1.344966888E-2	1.152455807E-3	4.140043259E-2	4.354558033E-2
1.742584789E1	1.425409317E-2	1.482725143E-3	5.413150787E-2	5.599640873E-2
1.743384589E1	-8.358001709E-3	1.802927256E-2	1.664257050E-2	2.592076415E-2
1.744184593E1	-9.476184845E-3	1.976785064E-2	-2.078008652E-2	3.020559540E-2
1.744984515E1	-2.989053726E-2	1.669019461E-2	-7.485151291E-2	8.230890473E-2
1.745784636E1	-3.591346741E-2	3.982287645E-2	-1.026015282E-1	1.157700834E-1
1.746584832E1	-3.249979019E-2	2.493184805E-2	-1.135005951E-1	1.206657304E-1
1.747385164E1	-3.894472122E-2	1.991429925E-2	-9.307432175E-2	1.028401672E-1
1.748185421E1	-6.207513809E-2	1.053285599E-2	-8.230590820E-2	1.036268611E-1
1.748985660E1	-4.207134247E-2	6.318241358E-3	-5.961418152E-2	7.323775440E-2
1.749785816E1	-1.489305496E-2	-3.185868263E-5	-4.650783539E-2	4.883423854E-2
1.750585613E1	-4.606723785E-3	-3.967976570E-2	-4.049444199E-2	5.688150439E-2
1.751385062E1	3.164768219E-3	-5.769851804E-2	-1.284503937E-2	5.919569054E-2
1.752185089E1	3.753900528E-2	-6.857311726E-2	-2.130889893E-2	8.102788718E-2
1.752984980E1	1.700735092E-2	-6.535977125E-2	2.279329300E-2	7.127891616E-2
1.753785039E1	1.354980469E-2	-5.059731007E-2	1.639938354E-2	5.488738265E-2
1.754584781E1	6.489753723E-4	-8.639678359E-2	1.470899582E-2	8.764234103E-2
1.755384808E1	-2.630138397E-2	-6.495717168E-2	-2.791261673E-2	7.543415091E-2
1.756185023E1	-4.112625122E-2	-4.613837600E-2	-5.387973785E-2	8.199478295E-2
1.756985007E1	-3.420352936E-2	-2.981996536E-2	-9.196519852E-2	1.025510092E-1
1.757784980E1	-5.591297150E-2	-1.823461056E-2	-1.133694649E-1	1.277160795E-1
