"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.120036390E1	-1.503753662E-2	1.345589757E-2	3.799724579E-2	4.302300983E-2
1.120835851E1	-1.257558912E-2	6.285101175E-3	2.841854095E-2	3.170585764E-2
1.121635523E1	-7.768675685E-3	8.698165417E-3	2.841854095E-2	3.071846144E-2
1.122435167E1	-1.023992896E-2	1.110920310E-2	3.320693970E-2	3.648248049E-2
1.123234945E1	6.578020751E-3	6.249576807E-3	2.842044830E-2	2.983369654E-2
1.124035167E1	-7.866628468E-3	6.223738194E-3	3.799819946E-2	3.929989724E-2
1.124834921E1	-3.066770732E-3	1.113295555E-2	2.123641968E-2	2.417298705E-2
1.125634702E1	1.625858247E-3	6.296664476E-3	2.363204956E-2	2.451051132E-2
1.126434663E1	3.972172737E-3	1.508265734E-3	2.602767944E-2	2.637220353E-2
1.127234679E1	-5.510166287E-3	1.338401437E-2	2.842235565E-2	3.189551809E-2
1.128034702E1	-3.301508725E-3	1.576334238E-2	3.081989288E-2	3.477425370E-2
1.128834804E1	1.437649131E-3	1.097550988E-2	4.039764404E-2	4.188673175E-2
1.129634906E1	1.250915229E-3	1.818802953E-2	2.124500275E-2	2.799498792E-2
1.130434874E1	-8.410573006E-3	1.097708941E-2	2.842903137E-2	3.161398511E-2
1.131234816E1	-8.402757347E-3	6.269216537E-3	3.321456909E-2	3.482982927E-2
1.132034867E1	-1.165665686E-3	6.304293871E-3	4.039573669E-2	4.090132566E-2
1.132834839E1	-5.942992866E-3	1.106840372E-2	3.800201416E-2	4.002476490E-2
1.133634890E1	-1.072871685E-2	1.490503550E-3	2.124309540E-2	2.384525253E-2
1.134434902E1	-1.076367497E-2	1.822787523E-2	2.603244781E-2	3.355295030E-2
1.135234683E1	-1.220919192E-3	6.281852722E-3	2.603244781E-2	2.680747389E-2
1.136034492E1	1.310277730E-2	1.593399048E-2	3.560733795E-2	4.115163838E-2
1.136834546E1	-8.386388421E-3	1.604741812E-2	3.560352325E-2	3.994323481E-2
1.137634941E1	-1.147173345E-3	1.128345728E-2	2.602577209E-2	2.838966763E-2
1.138435281E1	-3.486767411E-3	4.133105278E-3	3.081226349E-2	3.128315341E-2
1.139235616E1	-8.219391108E-3	6.512075663E-3	3.081226349E-2	3.254782790E-2
1.140035890E1	-8.305780590E-3	1.367551088E-2	2.123641968E-2	2.658930443E-2
1.140836167E1	-1.308702677E-2	8.920103312E-3	2.841854095E-2	3.253385902E-2
1.141636456E1	1.376695931E-3	-5.140602589E-4	3.559589386E-2	3.562621520E-2
1.142436831E1	-3.355123103E-3	1.392862201E-2	3.319835663E-2	3.615790709E-2
1.143237324E1	-8.226186037E-3	1.380950212E-2	3.080844879E-2	3.474957557E-2
1.144037476E1	6.142958999E-3	1.618725061E-2	2.362632751E-2	2.929106313E-2
1.144837558E1	-1.304459572E-2	1.381203532E-2	2.123260498E-2	2.849135503E-2
1.145637464E1	-1.013733447E-3	2.091869712E-2	2.602195740E-2	3.340302099E-2
1.146437863E1	-3.402173519E-3	1.794397831E-3	2.841472626E-2	2.867387864E-2
1.147237913E1	-5.689397454E-3	2.087467909E-2	2.602291107E-2	3.384247880E-2
1.148038113E1	-3.282301128E-3	1.131519675E-2	3.081035614E-2	3.298613684E-2
1.148838316E1	-3.316640854E-3	-6.813704967E-4	2.602291107E-2	2.624226120E-2
1.149638363E1	-5.703873932E-3	1.850098372E-2	2.841567993E-2	3.438417430E-2
1.150438511E1	1.441195607E-3	1.129260659E-2	2.841663361E-2	3.061217199E-2
1.151238370E1	6.138987839E-3	1.117601991E-2	3.081512451E-2	3.334910031E-2
1.152038116E1	-1.084998250E-3	8.712559938E-3	2.842330933E-2	2.974845265E-2
1.152838238E1	-1.304610074E-2	8.687704802E-3	2.124214172E-2	2.639896862E-2
1.153638519E1	3.861576319E-3	8.672267199E-3	3.081798553E-2	3.224698780E-2
1.154438499E1	3.861576319E-3	6.278067827E-3	2.363491058E-2	2.475752220E-2
1.155238648E1	-8.789300919E-4	1.350855827E-2	2.363204956E-2	2.723467333E-2
1.156038874E1	1.516625285E-3	1.632839441E-3	3.560161591E-2	3.567129619E-2
1.156838620E1	1.612447202E-3	1.140129566E-2	3.320026398E-2	3.514039068E-2
1.157638402E1	-1.031067967E-2	4.314512014E-3	3.080272675E-2	3.276786695E-2
1.158438296E1	-3.177292645E-3	1.149764657E-2	2.840900421E-2	3.081172805E-2
1.159238464E1	-1.270486414E-2	6.517112255E-3	2.123165131E-2	2.558650704E-2
1.160038730E1	8.896216750E-3	4.024893045E-3	2.602195740E-2	2.779360904E-2
1.160839034E1	-7.285028696E-4	1.834219694E-2	3.320598602E-2	3.794211925E-2
1.161638945E1	-3.120034933E-3	1.677513123E-3	3.799247742E-2	3.815726679E-2
1.162439160E1	6.411559880E-3	4.070609808E-3	3.081035614E-2	3.173257017E-2
1.163239531E1	-7.904395461E-3	1.369476318E-2	2.602005005E-2	3.044780798E-2
1.164039761E1	-5.606047809E-3	1.819610596E-3	3.798961639E-2	3.844411149E-2
1.164839796E1	1.383543015E-3	1.144486666E-2	3.080844879E-2	3.289467557E-2
